benchmark,benchmark_type,framework,algorithm,time,size,query
xml-30,xml,HDD,probdd,4996,147,1365
xml-30,xml,HDD,saprobdd,4662,147,1328
xml-30,xml,HDD,wprobdd,4678,147,1351
xml-30,xml,Perses,probdd,4981,78,710
xml-30,xml,Perses,saprobdd,4799,78,709
xml-30,xml,Perses,wprobdd,4878,78,710
xml-4,xml,HDD,probdd,2407,78,681
xml-4,xml,HDD,saprobdd,2406,78,706
xml-4,xml,HDD,wprobdd,2419,78,708
xml-4,xml,Perses,probdd,1277,13,206
xml-4,xml,Perses,saprobdd,1312,13,209
xml-4,xml,Perses,wprobdd,1332,13,210
xml-5,xml,HDD,probdd,386,20,139
xml-5,xml,HDD,saprobdd,193,15,85
xml-5,xml,HDD,wprobdd,189,15,84
xml-5,xml,Perses,probdd,88,15,19
xml-5,xml,Perses,saprobdd,88,15,19
xml-5,xml,Perses,wprobdd,87,15,19
xml-6,xml,HDD,probdd,1948,73,593
xml-6,xml,HDD,saprobdd,770,30,279
xml-6,xml,HDD,wprobdd,795,30,279
xml-6,xml,Perses,probdd,787,30,113
xml-6,xml,Perses,saprobdd,757,30,112
xml-6,xml,Perses,wprobdd,782,30,113
xml-7,xml,HDD,probdd,1408,69,621
xml-7,xml,HDD,saprobdd,1546,69,628
xml-7,xml,HDD,wprobdd,1566,69,629
xml-7,xml,Perses,probdd,688,33,165
xml-7,xml,Perses,saprobdd,669,33,167
xml-7,xml,Perses,wprobdd,644,33,167
xml-8,xml,HDD,probdd,390,24,137
xml-8,xml,HDD,saprobdd,361,24,142
xml-8,xml,HDD,wprobdd,373,24,140
xml-8,xml,Perses,probdd,391,16,84
xml-8,xml,Perses,saprobdd,365,16,85
xml-8,xml,Perses,wprobdd,417,16,85
xml-9,xml,HDD,probdd,2555,79,722
xml-9,xml,HDD,saprobdd,1612,63,586
xml-9,xml,HDD,wprobdd,2209,90,827
xml-9,xml,Perses,probdd,1952,37,288
xml-9,xml,Perses,saprobdd,1876,37,292
xml-9,xml,Perses,wprobdd,1925,37,292
