benchmark,benchmark_type,framework,algorithm,time,size,query
xml-21,xml,Perses,SAddmin,1514,46,248
xml-21,xml,Perses,Wddmin,1479,46,249
xml-21,xml,Perses,ddmin,1575,46,264
xml-22,xml,HDD,SAddmin,1662,61,747
xml-22,xml,HDD,Wddmin,1603,61,739
xml-22,xml,HDD,ddmin,1622,61,760
xml-22,xml,Perses,SAddmin,400,24,101
xml-22,xml,Perses,Wddmin,364,24,100
xml-22,xml,Perses,ddmin,368,24,101
xml-23,xml,HDD,SAddmin,7014,165,2192
xml-23,xml,HDD,Wddmin,6517,165,2184
xml-23,xml,HDD,ddmin,7931,189,2673
xml-23,xml,Perses,SAddmin,2369,51,385
xml-23,xml,Perses,Wddmin,2228,51,384
xml-23,xml,Perses,ddmin,2281,54,391
xml-24,xml,HDD,SAddmin,2661,96,903
xml-24,xml,HDD,Wddmin,2438,96,895
xml-24,xml,HDD,ddmin,2415,96,900
xml-24,xml,Perses,SAddmin,2284,70,387
xml-24,xml,Perses,Wddmin,2086,70,384
xml-24,xml,Perses,ddmin,2094,70,387
xml-25,xml,HDD,SAddmin,6276,132,2013
xml-25,xml,HDD,Wddmin,5823,132,2006
xml-25,xml,HDD,ddmin,4312,135,1439
xml-25,xml,Perses,SAddmin,2248,55,362
xml-25,xml,Perses,Wddmin,2140,55,363
xml-25,xml,Perses,ddmin,2132,55,364
xml-26,xml,HDD,SAddmin,7167,126,2026
xml-26,xml,HDD,Wddmin,6635,126,2028
xml-26,xml,HDD,ddmin,6570,126,2027
xml-26,xml,Perses,SAddmin,2964,64,441
xml-26,xml,Perses,Wddmin,2746,64,438
xml-26,xml,Perses,ddmin,2708,64,435
xml-27,xml,HDD,SAddmin,9869,195,2873
xml-27,xml,HDD,Wddmin,9161,195,2873
xml-27,xml,HDD,ddmin,9367,195,2912
xml-27,xml,Perses,SAddmin,4739,102,724
xml-27,xml,Perses,Wddmin,4428,102,723
xml-27,xml,Perses,ddmin,4394,102,719
xml-28,xml,HDD,SAddmin,8403,159,2655
xml-28,xml,HDD,Wddmin,7863,159,2673
xml-28,xml,HDD,ddmin,8021,159,2708
xml-28,xml,Perses,SAddmin,4112,97,641
xml-28,xml,Perses,Wddmin,3824,97,639
xml-28,xml,Perses,ddmin,3771,97,639
xml-29,xml,HDD,SAddmin,6030,138,1978
xml-29,xml,HDD,Wddmin,5593,138,1974
xml-29,xml,HDD,ddmin,6532,147,2273
xml-29,xml,Perses,SAddmin,2049,48,336
xml-29,xml,Perses,Wddmin,1941,48,334
xml-29,xml,Perses,ddmin,1980,48,337
xml-3,xml,HDD,SAddmin,313,15,139
xml-3,xml,HDD,Wddmin,292,15,139
xml-3,xml,HDD,ddmin,794,36,324
xml-3,xml,Perses,SAddmin,91,15,20
xml-3,xml,Perses,Wddmin,93,15,21
xml-3,xml,Perses,ddmin,94,15,21
xml-30,xml,HDD,SAddmin,6768,147,2118
xml-30,xml,HDD,Wddmin,6002,147,2120
xml-30,xml,HDD,ddmin,6257,147,2143
xml-30,xml,Perses,SAddmin,4626,78,706
xml-30,xml,Perses,Wddmin,4252,78,706
xml-30,xml,Perses,ddmin,4259,78,704
xml-4,xml,HDD,SAddmin,2744,78,946
xml-4,xml,HDD,Wddmin,2506,78,948
xml-4,xml,HDD,ddmin,2499,78,949
xml-4,xml,Perses,SAddmin,1317,13,206
xml-4,xml,Perses,Wddmin,1146,13,204
xml-4,xml,Perses,ddmin,1197,13,203
xml-5,xml,HDD,SAddmin,276,15,129
xml-5,xml,HDD,Wddmin,256,15,129
xml-5,xml,HDD,ddmin,1047,33,435
xml-5,xml,Perses,SAddmin,90,15,21
xml-5,xml,Perses,Wddmin,87,15,21
xml-5,xml,Perses,ddmin,96,15,21
